Eg,Eic,eff
0.33,0.05,22.47286689
0.33,0.06,22.55776422
0.33,0.07,22.64045208
0.33,0.08,22.72081776
0.33,0.09,22.79611014
0.33,0.1,22.75346217
0.33,0.11,22.64266008
0.33,0.12,22.53027125
0.33,0.13,22.41703107
0.33,0.14,22.30309492
0.33,0.15,22.18914659
0.33,0.16,22.07486009
0.33,0.17,22.07491363
0.33,0.18,22.18958345
0.33,0.19,22.30403354
0.33,0.2,22.41807255
0.33,0.21,22.53090526
0.33,0.22,22.64394844
0.33,0.23,22.75569841
0.33,0.24,22.78259211
0.33,0.25,22.71218334
0.33,0.26,22.63460958
0.33,0.27,22.55360016
0.33,0.28,22.46986129
0.33,0.29,22.38384143
0.33,0.3,22.29552313
0.33,0.31,22.20501278
0.33,0.32,22.11235538
0.34,0.01,22.63837972
0.34,0.02,22.73623097
0.34,0.03,22.83212542
0.34,0.04,22.92600463
0.34,0.05,23.0178079
0.34,0.06,23.10747129
0.34,0.07,23.19492413
0.34,0.08,23.28006985
0.34,0.09,23.35989155
0.34,0.1,23.37334488
0.34,0.11,23.25781136
0.34,0.12,23.13961274
0.34,0.13,23.02037719
0.34,0.14,22.90038015
0.34,0.15,22.77994623
0.34,0.16,22.6595565
0.34,0.17,22.53862782
0.34,0.18,22.65976956
0.34,0.19,22.78075934
0.34,0.2,22.90144572
0.34,0.21,23.02074643
0.34,0.22,23.14053623
0.34,0.23,23.25952364
0.34,0.24,23.37484126
0.34,0.25,23.34876422
0.34,0.26,23.27159127
0.34,0.27,23.18899698
0.34,0.28,23.1031744
0.34,0.29,23.01469536
0.34,0.3,22.92392712
0.34,0.31,22.83086675
0.34,0.32,22.73561268
0.34,0.33,22.63820498
0.35,0.01,23.15239846
0.35,0.02,23.25507656
0.35,0.03,23.35580011
0.35,0.04,23.45450993
0.35,0.05,23.55114456
0.35,0.06,23.64563962
0.35,0.07,23.7379251
0.35,0.08,23.82791311
0.35,0.09,23.9153501
0.35,0.1,23.98335048
0.35,0.11,23.86791898
0.35,0.12,23.74394051
0.35,0.13,23.61864352
0.35,0.14,23.49248784
0.35,0.15,23.36559279
0.35,0.16,23.23882867
0.35,0.17,23.11161937
0.35,0.18,23.1116798
0.35,0.19,23.23931346
0.35,0.2,23.36671735
0.35,0.21,23.49371395
0.35,0.22,23.61925333
0.35,0.23,23.74521276
0.35,0.24,23.87014492
0.35,0.25,23.96712242
0.35,0.26,23.90256507
0.35,0.27,23.81949737
0.35,0.28,23.7318897
0.35,0.29,23.64119702
0.35,0.3,23.54792034
0.35,0.31,23.45234318
0.35,0.32,23.35448137
0.35,0.33,23.25442664
0.35,0.34,23.15221459
0.36,0.01,23.65434749
0.36,0.02,23.76190312
0.36,0.03,23.86750902
0.36,0.04,23.9711053
0.36,0.05,24.07262979
0.36,0.06,24.1720176
0.36,0.07,24.26919905
0.36,0.08,24.3640913
0.36,0.09,24.45653461
0.36,0.1,24.54272723
0.36,0.11,24.47276318
0.36,0.12,24.34316296
0.36,0.13,24.21176292
0.36,0.14,24.07935642
0.36,0.15,23.9461416
0.36,0.16,23.81260728
0.36,0.17,23.67903999
0.36,0.18,23.54489969
0.36,0.19,23.6792781
0.36,0.2,23.81349727
0.36,0.21,23.94740143
0.36,0.22,24.079693
0.36,0.23,24.21266807
0.36,0.24,24.34485288
0.36,0.25,24.47555496
0.36,0.26,24.52301953
0.36,0.27,24.44428987
0.36,0.28,24.35567259
0.36,0.29,24.26303591
0.36,0.3,24.16740961
0.36,0.31,24.06928951
0.36,0.32,23.96884698
0.36,0.33,23.86612887
0.36,0.34,23.76122109
0.36,0.35,23.65415391
0.37,0.01,24.14400285
0.37,0.02,24.25648249
0.37,0.03,24.36701972
0.37,0.04,24.47555398
0.37,0.05,24.58202243
0.37,0.06,24.68635965
0.37,0.07,24.78849604
0.37,0.08,24.88835188
0.37,0.09,24.9858028
0.37,0.1,25.0770929
0.37,0.11,25.07184283
0.37,0.12,24.93717103
0.37,0.13,24.79966058
0.37,0.14,24.66093413
0.37,0.15,24.52132272
0.37,0.16,24.38093587
0.37,0.17,24.24084222
0.37,0.18,24.10017934
0.37,0.19,24.10024706
0.37,0.2,24.24137858
0.37,0.21,24.38227043
0.37,0.22,24.52274765
0.37,0.23,24.66151527
0.37,0.24,24.80091942
0.37,0.25,24.93936138
0.37,0.26,25.07434709
0.37,0.27,25.06096026
0.37,0.28,24.97389417
0.37,0.29,24.87988144
0.37,0.3,24.78218852
0.37,0.31,24.68151616
0.37,0.32,24.57856224
0.37,0.33,24.47320178
0.37,0.34,24.3655769
0.37,0.35,24.25576766
0.37,0.36,24.14379959
0.38,0.01,24.65589375
0.38,0.02,24.77024908
0.38,0.03,24.88272264
0.38,0.04,24.99325481
0.38,0.05,25.10178381
0.38,0.06,25.20824541
0.38,0.07,25.31257175
0.38,0.08,25.41468717
0.38,0.09,25.51448766
0.38,0.1,25.61143809
0.38,0.11,25.6699865
0.38,0.12,25.53676209
0.38,0.13,25.39697206
0.38,0.14,25.2556962
0.38,0.15,25.11344056
0.38,0.16,24.97034564
0.38,0.17,24.82708244
0.38,0.18,24.68369505
0.38,0.19,24.53971386
0.38,0.2,24.68395306
0.38,0.21,24.82803023
0.38,0.22,24.97178915
0.38,0.23,25.11498781
0.38,0.24,25.25655636
0.38,0.25,25.39860567
0.38,0.26,25.53947566
0.38,0.27,25.65809543
0.38,0.28,25.59440917
0.38,0.29,25.50307732
0.38,0.3,25.40635266
0.38,0.31,25.30627502
0.38,0.32,25.20339115
0.38,0.33,25.09829422
0.38,0.34,24.99087105
0.38,0.35,24.88125548
0.38,0.36,24.76952036
0.38,0.37,24.65568621
0.39,0.01,25.18037168
0.39,0.02,25.29968267
0.39,0.03,25.41712241
0.39,0.04,25.53263067
0.39,0.05,25.64614502
0.39,0.06,25.75760067
0.39,0.07,25.86692955
0.39,0.08,25.97405717
0.39,0.09,26.07888915
0.39,0.1,26.18118605
0.39,0.11,26.27539374
0.39,0.12,26.17745995
0.39,0.13,26.03184762
0.39,0.14,25.88424746
0.39,0.15,25.73550033
0.39,0.16,25.58585156
0.39,0.17,25.43542271
0.39,0.18,25.28545761
0.39,0.19,25.134798
0.39,0.2,25.13487164
0.39,0.21,25.28603415
0.39,0.22,25.43695364
0.39,0.23,25.58745859
0.39,0.24,25.73603428
0.39,0.25,25.88546012
0.39,0.26,26.03396463
0.39,0.27,26.18081038
0.39,0.28,26.24897886
0.39,0.29,26.1648981
0.39,0.3,26.06755539
0.39,0.31,25.96560057
0.39,0.32,25.86045907
0.39,0.33,25.75260338
0.39,0.34,25.64252897
0.39,0.35,25.53014984
0.39,0.36,25.41559092
0.39,0.37,25.29892016
0.39,0.38,25.18015417
0.4,0.01,25.69495517
0.4,0.02,25.81925784
0.4,0.03,25.94170211
0.4,0.04,26.06222718
0.4,0.05,26.18077001
0.4,0.06,26.29726527
0.4,0.07,26.41164461
0.4,0.08,26.52383424
0.4,0.09,26.6337457
0.4,0.1,26.74121512
0.4,0.11,26.84173104
0.4,0.12,26.81508881
0.4,0.13,26.6641827
0.4,0.14,26.5102682
0.4,0.15,26.35497698
0.4,0.16,26.1986863
0.4,0.17,26.04150207
0.4,0.18,25.88431946
0.4,0.19,25.72690258
0.4,0.2,25.56885241
0.4,0.21,25.72718894
0.4,0.22,25.88535634
0.4,0.23,26.04319349
0.4,0.24,26.20048775
0.4,0.25,26.35581271
0.4,0.26,26.511896
0.4,0.27,26.6668721
0.4,0.28,26.81839358
0.4,0.29,26.819865
0.4,0.3,26.72548488
0.4,0.31,26.6224155
0.4,0.32,26.51523147
0.4,0.33,26.40498539
0.4,0.34,26.29211871
0.4,0.35,26.17702443
0.4,0.36,26.05964722
0.4,0.37,25.94010487
0.4,0.38,25.81846106
0.4,0.39,25.6947274
0.41,0.01,26.19952035
0.41,0.02,26.32884684
0.41,0.03,26.45633008
0.41,0.04,26.5819087
0.41,0.05,26.70551909
0.41,0.06,26.82709539
