wavelength (nm),SiNx ARC,AlInP window,GaAs emitter,QD,GaAs base,AlInP BSF,Ag mirror,GaAs,Active region,Total
750,9.6795598e-06,0,0.015332827,0.011087208,0.03926825,-6.9830194e-19,0.00014745394,0.054600113,0.065761812,0.065929799
751,9.7285623e-06,0,0.015331502,0.011083566,0.039598655,-7.4666903e-19,0.00015101659,0.054930764,0.06608484,0.066255952
752,9.6951622e-06,0,0.015201629,0.010987058,0.039589408,-7.8787063e-19,0.00015326864,0.054792918,0.065844995,0.066017599
753,9.8336529e-06,0,0.015341938,0.011085956,0.040278809,-8.4246849e-19,0.00015822807,0.055623617,0.066769243,0.066946221
754,9.8212521e-06,0,0.015247391,0.011015363,0.040347011,-8.8353116e-19,0.00016075163,0.055597869,0.066665564,0.066844016
755,9.7189473e-06,0,0.015015714,0.010846054,0.040039697,-9.1474736e-19,0.00016172545,0.055059047,0.065948691,0.066126743
756,9.7273468e-06,0,0.014957385,0.010802388,0.040182474,-9.5461198e-19,0.00016446603,0.055143286,0.065980047,0.066159485
757,9.8051607e-06,0,0.015006819,0.010837031,0.04060792,-1.000132e-18,0.00016834982,0.05561753,0.06647879,0.066660666
758,9.5483645e-06,0,0.014547066,0.010504551,0.039640692,-1.0092601e-18,0.00016638641,0.054189362,0.064706272,0.064884115
759,2.1627415e-06,0,0.0032802352,0.0023687209,0.0089994285,-2.3622266e-19,3.8227911e-05,0.012279664,0.014648385,0.014688775
760,1.2561233e-06,0,0.0018968689,0.0013697568,0.0052382553,-1.4149274e-19,2.2511047e-05,0.0071348538,0.0085030222,0.0085265396
761,5.5769949e-06,0,0.0083862373,0.0060551496,0.023305088,-6.4711337e-19,0.00010129775,0.031688713,0.037730719,0.0378355
762,3.0995725e-06,0,0.0046417863,0.0033508261,0.012977847,-3.7006988e-19,5.704177e-05,0.017617293,0.020957934,0.02101643
763,4.3994626e-06,0,0.006562229,0.0047357384,0.018454712,-5.3992638e-19,8.2005819e-05,0.025012231,0.029730097,0.029813571
764,5.6009187e-06,0,0.0083220197,0.0060034149,0.023535978,-7.0586816e-19,0.00010571258,0.031850098,0.037827215,0.037934145
765,6.6491546e-06,0,0.0098423821,0.0070969216,0.027987582,-8.5972541e-19,0.00012703713,0.037818193,0.04488058,0.045008409
766,7.9497645e-06,0,0.011724552,0.008449602,0.033515206,-1.0536529e-18,0.00015370771,0.045222695,0.053628039,0.053782045
767,9.0918609e-06,0,0.013361157,0.0096233779,0.038387852,-1.2342032e-18,0.00017785131,0.051725972,0.06129639,0.061473988
768,9.2233652e-06,0,0.013507294,0.0097223595,0.038998734,-1.2813646e-18,0.00018249359,0.052479014,0.062146258,0.062328028
769,9.5111245e-06,0,0.013881424,0.0099847407,0.040270005,-1.3512645e-18,0.00019030056,0.05411978,0.064047185,0.064236392
770,9.5953309e-06,0,0.013957835,0.010032358,0.040678881,-1.3931087e-18,0.00019409708,0.054600966,0.064575833,0.064768599
771,9.6944608e-06,0,0.014056192,0.010095334,0.041149475,-1.437379e-18,0.00019821615,0.055165729,0.065204117,0.065400876
772,9.712348e-06,0,0.014037226,0.010073756,0.041273441,-1.4696505e-18,0.00020068081,0.055266908,0.065285457,0.065484673
773,9.7376685e-06,0,0.014029733,0.01006025,0.041426975,-1.5028628e-18,0.00020329045,0.055409192,0.065416564,0.065618479
774,9.7614155e-06,0,0.014020584,0.010045463,0.041571965,-1.5356629e-18,0.00020586069,0.055541416,0.065536898,0.065741564
775,9.8080155e-06,0,0.014044685,0.010054458,0.041812667,-1.5719487e-18,0.00020891159,0.055802644,0.065810394,0.066018371
776,9.7740945e-06,0,0.013954069,0.0099814049,0.041708384,-1.5950481e-18,0.00021023481,0.055604834,0.065543584,0.065753226
777,9.7883048e-06,0,0.013932799,0.0099581291,0.041807788,-1.6256253e-18,0.0002125748,0.055680033,0.065599661,0.065812046
778,9.8564454e-06,0,0.013988401,0.0099899527,0.042136387,-1.6650759e-18,0.0002160896,0.056061231,0.066016906,0.066233266
779,9.7740212e-06,0,0.013830741,0.0098697725,0.041819948,-1.6787325e-18,0.00021628799,0.055585419,0.065425826,0.06564289
780,9.7746191e-06,0,0.013791173,0.0098342799,0.041857263,-1.7061005e-18,0.00021829519,0.055581267,0.065390906,0.065610524
781,9.8459553e-06,0,0.013851298,0.0098702395,0.042196715,-1.7456975e-18,0.00022188609,0.055978826,0.065829039,0.066052841
782,9.8309984e-06,0,0.013789889,0.0098200339,0.042165643,-1.7698332e-18,0.00022353391,0.055885337,0.065690124,0.065916178
783,9.7900506e-06,0,0.013692263,0.0097446082,0.042022157,-1.7888234e-18,0.00022457059,0.055643846,0.065377899,0.0656056
784,9.8571247e-06,0,0.013745531,0.0097771541,0.042341804,-1.8273069e-18,0.00022808237,0.056016074,0.06578709,0.06601896
785,9.8873091e-06,0,0.013746798,0.0097733145,0.042502818,-1.8588968e-18,0.00023075288,0.056178433,0.065949859,0.066185051
786,9.7938216e-06,0,0.013576139,0.0096479799,0.042131652,-1.8667599e-18,0.0002305183,0.055638096,0.065288139,0.065523683
787,9.6950938e-06,0,0.013398697,0.0095186558,0.041737122,-1.8728211e-18,0.00023011692,0.055068179,0.064592417,0.064828121
788,9.6807916e-06,0,0.01333801,0.0094731177,0.041705599,-1.8945999e-18,0.00023169267,0.054977988,0.064459804,0.064697667
789,9.4095933e-06,0,0.012924124,0.0091776285,0.040566493,-1.8650882e-18,0.0002270602,0.053429279,0.06261794,0.062851549
790,9.5575918e-06,0,0.013085993,0.009291906,0.04123439,-1.9180652e-18,0.00023251636,0.054261174,0.063566385,0.063806082
791,9.4905755e-06,0,0.012952509,0.0091973939,0.040975168,-1.9278045e-18,0.00023275593,0.053872586,0.063084704,0.063325079
