wl(um)	n	k
0.913	3.6073	0.05622
0.914	3.607	0.054951
0.915	3.6065	0.053685
0.916	3.6061	0.052425
0.917	3.6055	0.051176
0.918	3.605	0.04994
0.919	3.6043	0.048721
0.92	3.6037	0.04752
0.921	3.603	0.046339
0.922	3.6022	0.045181
0.923	3.6015	0.044047
0.924	3.6007	0.042937
0.925	3.5998	0.041853
0.926	3.599	0.040796
0.927	3.5981	0.039765
0.928	3.5972	0.038761
0.929	3.5963	0.037785
0.93	3.5954	0.036836
0.931	3.5944	0.035914
0.932	3.5934	0.035018
0.933	3.5925	0.03415
0.934	3.5915	0.033307
0.935	3.5905	0.032491
0.936	3.5895	0.0317
0.937	3.5885	0.030934
0.938	3.5874	0.030192
0.939	3.5864	0.029473
0.94	3.5854	0.028778
0.941	3.5844	0.028106
0.942	3.5833	0.027455
0.943	3.5823	0.026826
0.944	3.5813	0.026217
0.945	3.5802	0.025629
0.946	3.5792	0.02506
0.947	3.5782	0.02451
0.948	3.5771	0.023978
0.949	3.5761	0.023465
0.95	3.5751	0.022968
0.951	3.5741	0.022489
0.952	3.573	0.022025
0.953	3.572	0.021577
0.954	3.571	0.021145
0.955	3.57	0.020727
0.956	3.569	0.020324
0.957	3.568	0.019935
0.958	3.567	0.019559
0.959	3.566	0.019197
0.96	3.565	0.018847
0.961	3.5641	0.018509
0.962	3.5631	0.018184
0.963	3.5621	0.017871
0.964	3.5611	0.017568
0.965	3.5602	0.017278
0.966	3.5592	0.016998
0.967	3.5583	0.016729
0.968	3.5573	0.01647
0.969	3.5564	0.016221
0.97	3.5554	0.015983
0.971	3.5545	0.015755
0.972	3.5536	0.015536
0.973	3.5527	0.015327
0.974	3.5517	0.015128
0.975	3.5508	0.014938
0.976	3.5499	0.014757
0.977	3.549	0.014586
0.978	3.5481	0.014424
0.979	3.5472	0.014271
0.98	3.5463	0.014128
0.981	3.5454	0.013994
0.982	3.5446	0.01387
0.983	3.5437	0.013755
0.984	3.5428	0.01365
0.985	3.5419	0.013555
0.986	3.5411	0.01347
0.987	3.5402	0.013395
0.988	3.5394	0.01333
0.989	3.5385	0.013277
0.99	3.5377	0.013234
0.991	3.5368	0.013203
0.992	3.536	0.013183
0.993	3.5352	0.013176
0.994	3.5343	0.013181
0.995	3.5335	0.013199
0.996	3.5327	0.013231
0.997	3.5319	0.013276
0.998	3.5311	0.013336
0.999	3.5303	0.013412
1	3.5296	0.013502
1.001	3.5288	0.013609
1.002	3.528	0.013731
1.003	3.5273	0.013871
1.004	3.5266	0.014027
1.005	3.5259	0.014199
1.006	3.5252	0.014389
1.007	3.5245	0.014594
1.008	3.5239	0.014815
1.009	3.5233	0.01505
1.01	3.5227	0.015297
1.011	3.5222	0.015554
1.012	3.5217	0.015819
1.013	3.5212	0.016088
1.014	3.5208	0.016357
1.015	3.5204	0.01662
1.016	3.5201	0.016873
1.017	3.5198	0.01711
1.018	3.5195	0.017324
1.019	3.5193	0.01751
1.02	3.5191	0.017661
1.021	3.519	0.017771
1.022	3.5188	0.017837
1.023	3.5187	0.017853
1.024	3.5186	0.01782
1.025	3.5185	0.017735
1.026	3.5184	0.017599
1.027	3.5183	0.017416
1.028	3.5182	0.017189
1.029	3.518	0.016923
1.03	3.5179	0.016623
1.031	3.5176	0.016296
1.032	3.5174	0.015947
1.033	3.5171	0.015582
1.034	3.5168	0.015208
1.035	3.5164	0.014828
1.036	3.516	0.014448
1.037	3.5156	0.014072
1.038	3.5151	0.013702
1.039	3.5147	0.013342
1.04	3.5142	0.012993
1.041	3.5137	0.012657
1.042	3.5131	0.012335
1.043	3.5126	0.012029
1.044	3.512	0.011737
1.045	3.5114	0.011462
1.046	3.5108	0.011202
1.047	3.5102	0.010957
1.048	3.5096	0.010728
1.049	3.509	0.010515
1.05	3.5084	0.010316
1.051	3.5078	0.010132
1.052	3.5072	0.0099619
1.053	3.5066	0.0098059
1.054	3.506	0.0096634
1.055	3.5053	0.0095343
1.056	3.5047	0.0094181
1.057	3.5041	0.0093148
1.058	3.5035	0.0092241
1.059	3.5029	0.0091458
1.06	3.5023	0.00908
1.061	3.5017	0.0090264
1.062	3.5011	0.008985
1.063	3.5005	0.0089559
1.064	3.4999	0.0089391
1.065	3.4993	0.0089346
1.066	3.4987	0.0089426
1.067	3.4982	0.008963
1.068	3.4976	0.008996
1.069	3.497	0.0090417
1.07	3.4965	0.0091
1.071	3.496	0.0091708
1.072	3.4954	0.0092542
1.073	3.4949	0.0093497
1.074	3.4944	0.0094571
1.075	3.4939	0.0095756
1.076	3.4935	0.0097044
1.077	3.493	0.0098424
1.078	3.4926	0.009988
1.079	3.4922	0.010139
1.08	3.4919	0.010294
1.081	3.4915	0.01045
1.082	3.4912	0.010604
1.083	3.4909	0.010751
1.084	3.4907	0.010889
1.085	3.4904	0.011013
1.086	3.4902	0.011119
1.087	3.49	0.011204
1.088	3.4899	0.011263
1.089	3.4897	0.011293
1.09	3.4896	0.011292
1.091	3.4895	0.011259
1.092	3.4894	0.011193
1.093	3.4892	0.011095
1.094	3.4891	0.010966
1.095	3.489	0.010808
1.096	3.4888	0.010625
1.097	3.4886	0.01042
1.098	3.4884	0.010198
1.099	3.4882	0.0099609
1.1	3.488	0.0097138
1.101	3.4877	0.0094599
1.102	3.4874	0.0092024
1.103	3.4871	0.0089443
1.104	3.4868	0.008688
1.105	3.4865	0.0084354
1.106	3.4861	0.0081881
1.107	3.4857	0.0079475
1.108	3.4854	0.0077144
1.109	3.485	0.0074896
1.11	3.4846	0.0072733
1.111	3.4841	0.0070659
1.112	3.4837	0.0068674
1.113	3.4833	0.0066778
1.114	3.4829	0.0064968
1.115	3.4825	0.0063242
1.116	3.482	0.0061598
1.117	3.4816	0.0060033
1.118	3.4812	0.0058543
1.119	3.4807	0.0057124
1.12	3.4803	0.0055773
1.121	3.4799	0.0054487
1.122	3.4794	0.0053262
1.123	3.479	0.0052094
1.124	3.4786	0.0050981
1.125	3.4781	0.0049919
1.126	3.4777	0.0048905
1.127	3.4773	0.0047936
1.128	3.4769	0.0047011
1.129	3.4764	0.0046125
1.13	3.476	0.0045278
1.131	3.4756	0.0044466
1.132	3.4752	0.0043688
1.133	3.4748	0.0042941
1.134	3.4744	0.0042225
1.135	3.4739	0.0041536
1.136	3.4735	0.0040874
1.137	3.4731	0.0040237
1.138	3.4727	0.0039624
1.139	3.4723	0.0039033
1.14	3.4719	0.0038464
1.141	3.4715	0.0037914
1.142	3.4711	0.0037383
1.143	3.4708	0.003687
1.144	3.4704	0.0036375
1.145	3.47	0.0035895
1.146	3.4696	0.0035431
1.147	3.4692	0.0034981
1.148	3.4688	0.0034546
1.149	3.4684	0.0034123
1.15	3.4681	0.0033713
1.151	3.4677	0.0033315
1.152	3.4673	0.0032928
1.153	3.467	0.0032553
1.154	3.4666	0.0032187
1.155	3.4662	0.0031832
1.156	3.4659	0.0031486
1.157	3.4655	0.0031149
1.158	3.4651	0.0030821
1.159	3.4648	0.0030501
1.16	3.4644	0.0030189
