wl(um)	n	k
0.99	3.515	5.50E-06
0.991	3.5144	5.50E-06
0.992	3.5137	5.50E-06
0.993	3.5132	5.50E-06
0.994	3.5127	5.50E-06
0.995	3.5122	5.50E-06
0.996	3.5116	5.50E-06
0.997	3.5111	5.50E-06
0.998	3.5106	5.50E-06
0.999	3.51	5.50E-06
1	3.5095	5.50E-06
1.001	3.509	5.50E-06
1.002	3.5084	5.50E-06
1.003	3.5079	5.50E-06
1.004	3.5074	5.50E-06
1.005	3.5069	5.50E-06
1.006	3.5063	5.50E-06
1.007	3.5058	5.50E-06
1.008	3.5053	5.50E-06
1.009	3.5047	5.50E-06
1.01	3.5042	5.50E-06
1.011	3.5037	5.50E-06
1.012	3.5031	5.50E-06
1.013	3.5026	5.50E-06
1.014	3.5021	5.50E-06
1.015	3.5015	5.50E-06
1.016	3.501	5.50E-06
1.017	3.5005	5.50E-06
1.018	3.5	5.50E-06
1.019	3.4994	5.50E-06
1.02	3.4989	5.50E-06
1.021	3.4984	5.50E-06
1.022	3.4978	5.50E-06
1.023	3.4973	5.50E-06
1.024	3.4968	5.50E-06
1.025	3.4962	5.50E-06
1.026	3.4957	5.50E-06
1.027	3.4952	5.50E-06
1.028	3.4947	5.50E-06
1.029	3.4941	5.50E-06
1.03	3.4936	5.50E-06
1.031	3.4931	5.50E-06
1.032	3.4925	5.50E-06
1.033	3.492	5.50E-06
1.034	3.4916	5.50E-06
1.035	3.4911	5.50E-06
1.036	3.4907	5.50E-06
1.037	3.4903	5.50E-06
1.038	3.4898	5.50E-06
1.039	3.4894	5.50E-06
1.04	3.489	5.50E-06
1.041	3.4885	5.50E-06
1.042	3.4881	5.50E-06
1.043	3.4876	5.50E-06
1.044	3.4872	5.50E-06
1.045	3.4868	5.50E-06
1.046	3.4863	5.50E-06
1.047	3.4859	5.50E-06
1.048	3.4855	5.50E-06
1.049	3.485	5.50E-06
1.05	3.4846	5.50E-06
1.051	3.4842	5.50E-06
1.052	3.4837	5.50E-06
1.053	3.4833	5.50E-06
1.054	3.4829	5.50E-06
1.055	3.4824	5.50E-06
1.056	3.482	5.50E-06
1.057	3.4815	5.50E-06
1.058	3.4811	5.50E-06
1.059	3.4807	5.50E-06
1.06	3.4802	5.50E-06
1.061	3.4798	5.50E-06
1.062	3.4794	5.50E-06
1.063	3.4789	5.50E-06
1.064	3.4785	5.50E-06
1.065	3.4781	5.50E-06
1.066	3.4776	5.50E-06
1.067	3.4772	5.50E-06
1.068	3.4768	5.50E-06
1.069	3.4763	5.50E-06
1.07	3.4759	5.50E-06
1.071	3.4754	5.50E-06
1.072	3.475	5.50E-06
1.073	3.4746	5.50E-06
1.074	3.4741	5.50E-06
1.075	3.4737	5.50E-06
1.076	3.4733	5.50E-06
1.077	3.4728	5.50E-06
1.078	3.4724	5.50E-06
1.079	3.472	5.50E-06
1.08	3.4717	5.50E-06
1.081	3.4713	5.50E-06
1.082	3.4709	5.50E-06
1.083	3.4706	5.50E-06
1.084	3.4702	5.50E-06
1.085	3.4699	5.50E-06
1.086	3.4695	5.50E-06
1.087	3.4691	5.50E-06
1.088	3.4688	5.50E-06
1.089	3.4684	5.50E-06
1.09	3.468	5.50E-06
1.091	3.4677	5.50E-06
1.092	3.4673	5.50E-06
1.093	3.467	5.50E-06
1.094	3.4666	5.50E-06
1.095	3.4662	5.50E-06
1.096	3.4659	5.50E-06
1.097	3.4655	5.50E-06
1.098	3.4651	5.50E-06
1.099	3.4648	5.50E-06
1.1	3.4644	5.50E-06
1.101	3.464	5.50E-06
1.102	3.4637	5.50E-06
1.103	3.4633	5.50E-06
1.104	3.463	5.50E-06
1.105	3.4626	5.50E-06
1.106	3.4622	5.50E-06
1.107	3.4619	5.50E-06
1.108	3.4615	5.50E-06
1.109	3.4611	5.50E-06
1.11	3.4608	5.50E-06
1.111	3.4604	5.50E-06
1.112	3.46	5.50E-06
1.113	3.4597	5.50E-06
1.114	3.4593	5.50E-06
1.115	3.459	5.50E-06
1.116	3.4586	5.50E-06
1.117	3.4582	5.50E-06
1.118	3.4579	5.50E-06
1.119	3.4575	5.50E-06
1.12	3.4571	5.50E-06
1.121	3.4568	5.50E-06
1.122	3.4564	5.50E-06
1.123	3.4561	5.50E-06
1.124	3.4557	5.50E-06
1.125	3.4553	5.50E-06
1.126	3.455	5.50E-06
1.127	3.4546	5.50E-06
1.128	3.4543	5.50E-06
1.129	3.454	5.50E-06
1.13	3.4537	5.50E-06
1.131	3.4534	5.50E-06
1.132	3.4531	5.50E-06
1.133	3.4528	5.50E-06
1.134	3.4525	5.50E-06
1.135	3.4522	5.50E-06
1.136	3.4519	5.50E-06
1.137	3.4516	5.50E-06
1.138	3.4513	5.50E-06
1.139	3.451	5.50E-06
1.14	3.4507	5.50E-06
1.141	3.4504	5.50E-06
1.142	3.4501	5.50E-06
1.143	3.4498	5.50E-06
1.144	3.4495	5.50E-06
1.145	3.4492	5.50E-06
1.146	3.4489	5.50E-06
1.147	3.4486	5.50E-06
1.148	3.4483	5.50E-06
1.149	3.448	5.50E-06
1.15	3.4477	5.50E-06
1.151	3.4474	5.50E-06
1.152	3.4471	5.50E-06
1.153	3.4468	5.50E-06
1.154	3.4465	5.50E-06
1.155	3.4461	5.50E-06
1.156	3.4458	5.50E-06
1.157	3.4455	5.50E-06
1.158	3.4452	5.50E-06
1.159	3.4449	5.50E-06
1.16	3.4446	5.50E-06
1.161	3.4443	5.50E-06
1.162	3.444	5.50E-06
1.163	3.4437	5.50E-06
1.164	3.4434	5.50E-06
1.165	3.4431	5.50E-06
1.166	3.4428	5.50E-06
1.167	3.4425	5.50E-06
1.168	3.4422	5.50E-06
1.169	3.4419	5.50E-06
1.17	3.4416	5.50E-06
1.171	3.4413	5.50E-06
1.172	3.441	5.50E-06
1.173	3.4407	5.50E-06
1.174	3.4404	5.50E-06
1.175	3.4401	5.50E-06
1.176	3.4398	5.50E-06
1.177	3.4395	5.50E-06
1.178	3.4392	5.50E-06
1.179	3.4389	5.50E-06
1.18	3.4386	5.50E-06
1.181	3.4383	5.50E-06
1.182	3.438	5.50E-06
1.183	3.4378	5.50E-06
1.184	3.4375	5.50E-06
1.185	3.4373	5.50E-06
1.186	3.437	5.50E-06
1.187	3.4368	5.50E-06
1.188	3.4365	5.50E-06
1.189	3.4363	5.50E-06
1.19	3.436	5.50E-06
1.191	3.4357	5.50E-06
1.192	3.4355	5.50E-06
1.193	3.4352	5.50E-06
1.194	3.435	5.50E-06
1.195	3.4347	5.50E-06
1.196	3.4345	5.50E-06
1.197	3.4342	5.50E-06
1.198	3.4339	5.50E-06
1.199	3.4337	5.50E-06
1.2	3.4334	5.50E-06
