wavelength (nm),SiNx ARC,AlInP window,GaAs emitter,QD,GaAs base,AlInP BSF,Ag mirror,GaAs,Active region,Total
803,1.0955353e-05,0,0.014302917,0.010284965,0.047806254,-2.3924654e-18,0.00029567781,0.062124545,0.072386383,0.07269528
804,1.0644949e-05,0,0.013842061,0.0099838103,0.046510058,-2.2801325e-18,0.00028996803,0.060362745,0.070319061,0.070623073
805,1.0961784e-05,0,0.014196491,0.010274685,0.04795704,-2.2892765e-18,0.00030148727,0.062157327,0.072398787,0.07271618
806,1.090325e-05,0,0.01406301,0.010217135,0.047765397,-2.2067978e-18,0.00030289684,0.061822673,0.072002138,0.072322471
807,1.0854592e-05,0,0.013942304,0.010172248,0.047618025,-2.1161291e-18,0.00030470206,0.061543052,0.071673466,0.071997286
808,1.0694185e-05,0,0.013678548,0.010025797,0.046980321,-1.995397e-18,0.0003034635,0.060628654,0.070609238,0.070933394
809,1.0827379e-05,0,0.013789729,0.010157641,0.047632982,-1.9205983e-18,0.00031070897,0.061377217,0.071485318,0.071818954
810,1.0885314e-05,0,0.013803164,0.01022192,0.04795604,-1.822438e-18,0.00031602293,0.061697207,0.071865829,0.072206962
811,1.0917607e-05,0,0.013782626,0.010264971,0.048166534,-1.7116693e-18,0.00032079505,0.061869657,0.072077968,0.072426059
812,1.0952613e-05,0,0.013764077,0.01031328,0.048388826,-1.5940219e-18,0.00032584829,0.062055016,0.072308545,0.072663916
813,1.0961951e-05,0,0.01371186,0.010339961,0.048496965,-1.4663881e-18,0.00033033679,0.062092221,0.072369783,0.072731803
814,1.0895471e-05,0,0.013563896,0.010297352,0.048267881,-1.3243929e-18,0.0003327046,0.06169713,0.071930198,0.072296488
815,1.0869983e-05,0,0.013466179,0.010295483,0.048217977,-1.1844373e-18,0.00033647715,0.061531141,0.071760557,0.072132576
816,1.0917231e-05,0,0.013457015,0.010364586,0.048488565,-1.0488568e-18,0.00034270534,0.06177341,0.072070032,0.072450399
817,1.0713049e-05,0,0.013137418,0.010196496,0.047638907,-8.8871132e-19,0.00034116765,0.060589744,0.070718299,0.071098253
818,1.0606118e-05,0,0.012937505,0.010121923,0.047217029,-7.390732e-19,0.00034278268,0.059953102,0.070006864,0.070389733
819,1.0622601e-05,0,0.012887093,0.01016647,0.047340709,-5.9835084e-19,0.00034854466,0.060010297,0.070107943,0.070498182
820,1.0657081e-05,0,0.012856468,0.010229823,0.047541028,-4.5782697e-19,0.00035512739,0.060164686,0.070325252,0.070723592
821,1.0473631e-05,0,0.012562197,0.010084845,0.046764396,-3.1053159e-19,0.00035457663,0.059084858,0.069101783,0.069500001
822,1.0687174e-05,0,0.01274202,0.010323397,0.047755873,-1.7595541e-19,0.00036769385,0.060239702,0.070494304,0.070907514
823,1.0657908e-05,0,0.012629115,0.010329021,0.047658078,-3.7024602e-20,0.00037277307,0.060020099,0.070281389,0.070700302
